age_start,age_end,sex,race_ethnicity,born_in_us,state,household_emigration_rate
0,15,Female,Multiracial or Other,1,41,7.651483843072046e-05
0,15,Female,Multiracial or Other,1,42,0.00010422742642692981
0,15,Female,Multiracial or Other,1,44,0.00015469659612463897
0,15,Female,Multiracial or Other,1,45,6.999953255429948e-05
0,15,Female,Multiracial or Other,1,46,2.1186633488173583e-05
0,15,Female,Multiracial or Other,1,47,7.394391722052984e-05
0,15,Female,Multiracial or Other,1,48,8.764217162674301e-05
0,15,Female,Multiracial or Other,1,49,3.363921484664178e-05
0,15,Female,Multiracial or Other,1,50,3.8468817457948044e-05
0,15,Female,Multiracial or Other,1,51,5.8060771745064e-05
0,15,Female,Multiracial or Other,1,53,2.532067199736545e-05
0,15,Female,Multiracial or Other,1,54,1.8965070825542678e-05
0,15,Female,Multiracial or Other,1,55,1.9290898871039504e-05
0,15,Female,Multiracial or Other,1,56,3.152602702321499e-05
0,15,Female,NHOPI,0,1,0.001371826397250768
0,15,Female,NHOPI,0,2,9.160013431615673e-06
0,15,Female,NHOPI,0,4,0.00014848357730619003
0,15,Female,NHOPI,0,5,1.8560447163273754e-05
0,15,Female,NHOPI,0,6,0.00023015964422147902
0,15,Female,NHOPI,0,8,7.775409549475619e-05
0,15,Female,NHOPI,0,9,0.001371826397250768
0,15,Female,NHOPI,0,10,0.001371826397250768
0,15,Female,NHOPI,0,11,0.001371826397250768
0,15,Female,NHOPI,0,12,0.0036429095841370943
0,15,Female,NHOPI,0,13,0.00019504807943236096
0,15,Female,NHOPI,0,15,3.9884548049674564e-06
0,15,Female,NHOPI,0,16,0.001371826397250768
0,15,Female,NHOPI,0,17,0.001371826397250768
0,15,Female,NHOPI,0,18,0.001371826397250768
0,15,Female,NHOPI,0,19,6.370748080366937e-05
0,15,Female,NHOPI,0,20,0.001371826397250768
