age_start,age_end,sex,race_ethnicity,born_in_us,state,gq_person_emigration_rate
0,15,Female,Multiracial or Other,1,47,1.7197654790723285e-05
0,15,Female,Multiracial or Other,1,48,3.3785015139468234e-05
0,15,Female,Multiracial or Other,1,49,2.830270476815983e-05
0,15,Female,Multiracial or Other,1,50,2.7809896381684734e-05
0,15,Female,Multiracial or Other,1,51,1.892062800406609e-05
0,15,Female,Multiracial or Other,1,53,1.5355652263145687e-05
0,15,Female,Multiracial or Other,1,54,1.4416035421659487e-05
0,15,Female,Multiracial or Other,1,55,1.3316571567283206e-05
0,15,Female,Multiracial or Other,1,56,2.49601489167833e-05
0,15,Female,NHOPI,0,1,0.0
0,15,Female,NHOPI,0,2,0.0
0,15,Female,NHOPI,0,4,0.0
0,15,Female,NHOPI,0,5,0.0
0,15,Female,NHOPI,0,6,0.0
0,15,Female,NHOPI,0,8,0.0
0,15,Female,NHOPI,0,9,0.0
0,15,Female,NHOPI,0,10,0.0
0,15,Female,NHOPI,0,11,0.0
0,15,Female,NHOPI,0,12,0.0
0,15,Female,NHOPI,0,13,0.0
0,15,Female,NHOPI,0,15,0.0
0,15,Female,NHOPI,0,16,0.0
0,15,Female,NHOPI,0,17,0.0
0,15,Female,NHOPI,0,18,0.0
0,15,Female,NHOPI,0,19,0.0
0,15,Female,NHOPI,0,20,0.0
0,15,Female,NHOPI,0,21,0.0
0,15,Female,NHOPI,0,22,0.0
0,15,Female,NHOPI,0,23,0.0
0,15,Female,NHOPI,0,24,0.0
0,15,Female,NHOPI,0,25,0.0
0,15,Female,NHOPI,0,26,0.0
0,15,Female,NHOPI,0,27,0.0
0,15,Female,NHOPI,0,28,0.0
0,15,Female,NHOPI,0,29,0.0
0,15,Female,NHOPI,0,30,0.0
0,15,Female,NHOPI,0,31,0.0
0,15,Female,NHOPI,0,32,0.0
0,15,Female,NHOPI,0,33,0.0
0,15,Female,NHOPI,0,34,0.0
0,15,Female,NHOPI,0,35,0.0
0,15,Female,NHOPI,0,36,0.0
0,15,Female,NHOPI,0,37,0.0
0,15,Female,NHOPI,0,38,0.0
0,15,Female,NHOPI,0,39,0.0
0,15,Female,NHOPI,0,40,0.0
0,15,Female,NHOPI,0,41,0.0
0,15,Female,NHOPI,0,42,0.0
0,15,Female,NHOPI,0,44,0.0
0,15,Female,NHOPI,0,45,0.0
0,15,Female,NHOPI,0,46,0.0
0,15,Female,NHOPI,0,47,0.0
0,15,Female,NHOPI,0,48,0.0
0,15,Female,NHOPI,0,49,0.0
0,15,Female,NHOPI,0,50,0.0
0,15,Female,NHOPI,0,51,0.0
0,15,Female,NHOPI,0,53,0.0
